[ 2014-12-05T07:53:05+08:00 ] /workspace/poptrip/Public/vote/Public/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-05T07:53:05+08:00 ] /workspace/poptrip/Public/vote/Public/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003436s ]
[ 2014-12-05T07:53:05+08:00 ] /workspace/poptrip/Public/vote/Public/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003939s ]
[ 2014-12-05T09:48:09+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-05T09:48:09+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008743s ]
[ 2014-12-05T09:48:09+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.025139s ]
[ 2014-12-05T09:48:15+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-05T09:48:15+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000586s ]
[ 2014-12-05T09:48:15+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000670s ]
[ 2014-12-05T09:49:41+08:00 ] /git/poptrip.git/Public/vote/Public/ | ERR: (ThinkException) 模板不存在[../app/Tpl/Index/Index.html]
[ 2014-12-05T10:03:08+08:00 ] /git/poptrip.git/Public/vote/Public/ | ERR: (ThinkException) 模板不存在[../app/Tpl/Index/Index.html]
[ 2014-12-05T10:03:09+08:00 ] /git/poptrip.git/Public/vote/Public/ | ERR: (ThinkException) 模板不存在[../app/Tpl/Index/Index.html]
[ 2014-12-05T10:03:34+08:00 ] /git/poptrip.git/Public/vote/Public/ | ERR: (ThinkException) 模板不存在[../app/Tpl/Index/Index.html]
[ 2014-12-05T10:03:35+08:00 ] /git/poptrip.git/Public/vote/Public/ | ERR: (ThinkException) 模板不存在[../app/Tpl/Index/Index.html]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002229s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002393s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ view_template ] --START--
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003595s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003694s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ view_parse ] --START--
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013009s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013227s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ view_filter ] --START--
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Run ContentReplace Behavior [ RunTime:0.001661s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Run TokenBuild Behavior [ RunTime:0.001514s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001173s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001322s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005942s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ view_end ] --START--
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001170s ]
[ 2014-12-05T10:04:06+08:00 ] /git/poptrip.git/Public/vote/Public/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001237s ]
[ 2014-12-05T10:16:56+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | ERR: (ThinkException) 模板不存在[../app/Tpl/VoteAdmin/Index.html]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ route_check ] --START--
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run CheckRoute Behavior [ RunTime:0.010382s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.010494s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007849s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007925s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_template ] --START--
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.007190s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.007265s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_parse ] --START--
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.024407s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024480s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_filter ] --START--
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run ContentReplace Behavior [ RunTime:0.006179s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run TokenBuild Behavior [ RunTime:0.006161s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.007691s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.008594s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.028838s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_end ] --START--
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.006926s ]
[ 2014-12-05T14:08:29+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.007020s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ route_check ] --START--
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run CheckRoute Behavior [ RunTime:0.002634s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002785s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001311s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001382s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_template ] --START--
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002406s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002503s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_parse ] --START--
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.011229s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011320s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_filter ] --START--
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run ContentReplace Behavior [ RunTime:0.000765s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run TokenBuild Behavior [ RunTime:0.001271s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001042s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003095s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006407s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_end ] --START--
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001622s ]
[ 2014-12-05T17:20:48+08:00 ] /git/poptrip.git/Public/vote/Public/Index/VoteAdmin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001741s ]
[ 2014-12-05T17:20:55+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ route_check ] --START--
[ 2014-12-05T17:20:55+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001317s ]
[ 2014-12-05T17:20:55+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001492s ]
[ 2014-12-05T17:20:55+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-05T17:20:55+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000837s ]
[ 2014-12-05T17:20:55+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000906s ]
[ 2014-12-05T17:20:55+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | SQL: SHOW COLUMNS FROM `think_vote` [ RunTime:0.007442s ]
[ 2014-12-05T17:20:55+08:00 ] /git/poptrip.git/Public/vote/Public/Index/ | INFO: Tag[ view_template ] --START--
